cutoff,e1.te2,e1.te,e1.pnde,e1.tnie,e1.tnde,e1.pnie,e1.pm,e1.beta0,e1.beta1,e1.sigma,e1.theta1,e1.theta2,e1.theta3,interaction,iter
90,0.733098107165627,0.730522542499346,0.514953920217519,0.215568622281827,0.514953920217519,0.215568622281827,0.374109683951295,100.100070871944,-47.0251084181541,19.6278319647637,0.514953920217519,-0.00458411749665646,,1,1
110,0.674197125497557,0.676538505468975,0.391738476173255,0.28480002929572,0.391738476173255,0.28480002929572,0.504113269015937,106.794773028907,-47.1772312786089,19.919085090963,0.391738476173255,-0.00603681101194368,,1,1
130,0.73355934412062,0.73190983217917,0.48633434335607,0.245575488823101,0.48633434335607,0.245575488823101,0.419540204270728,111.963382601431,-47.0745324764985,20.440977470436,0.48633434335607,-0.00521673771153653,,1,1
150,0.651671356938653,0.650298187086979,0.344782630695308,0.305515556391671,0.344782630695308,0.305515556391671,0.550619374983635,114.805563821691,-46.5285036779566,21.0467583874946,0.344782630695308,-0.00656620205339662,,1,1
1000,0.71732716460046,0.721922500187106,0.368260366075647,0.353662134111459,0.368260366075647,0.353662134111459,0.579342509208921,116.304066546868,-47.4773604054052,21.3837616953547,0.368260366075647,-0.00744906901082047,,1,1
90,0.704474364973306,0.703497368565729,0.448515607234833,0.254981761330896,0.448515607234833,0.254981761330896,0.445550983494553,100.432675500367,-47.6142607189767,19.6430933334065,0.448515607234833,-0.00535515531440927,,1,2
110,0.687846261951537,0.689345398201967,0.460507135419531,0.228838262782436,0.460507135419531,0.228838262782436,0.410649816400967,106.714731432184,-47.0221334830586,19.7940759340979,0.460507135419531,-0.00486660740021256,,1,2
130,0.712992430266893,0.713626181710215,0.419582358549783,0.294043823160432,0.419582358549783,0.294043823160432,0.499389349479928,112.192434272216,-47.5918361475883,20.3255467393956,0.419582358549783,-0.00617845090591935,,1,2
150,0.715278342267477,0.717076223080132,0.434799798590239,0.282276424489893,0.434799798590239,0.282276424489893,0.480507955873304,114.740162823679,-46.8831273140447,21.0118661516455,0.434799798590239,-0.00602085314401226,,1,2
1000,0.703195923304672,0.703390685049486,0.389064961567241,0.314325723482245,0.389064961567241,0.314325723482245,0.533995693804825,116.061048982172,-46.6884760718812,21.2899934385102,0.389064961567241,-0.00673240486578127,,1,2
90,0.722987204090486,0.724064090632559,0.482175782568721,0.241888308063838,0.482175782568721,0.241888308063838,0.41701666510549,99.9044395406338,-46.9916869860043,19.5416704031042,0.482175782568721,-0.00514747019267219,,1,3
110,0.720137595235651,0.721518458269182,0.495640882549568,0.225877575719614,0.495640882549568,0.225877575719614,0.39336502510606,106.817807006894,-47.1828979652815,20.0226611323904,0.495640882549568,-0.00478727643829383,,1,3
130,0.728562887743216,0.726543172482413,0.463001374167794,0.26354179831462,0.463001374167794,0.26354179831462,0.448614467117006,111.775336535786,-47.3155493383933,20.5630262899547,0.463001374167794,-0.00556987717567877,,1,3
150,0.685493259443532,0.685192129258872,0.420009301656656,0.265182827602216,0.420009301656656,0.265182827602216,0.469619352196884,115.287257252269,-47.5573885301593,21.0926810988214,0.420009301656656,-0.00557605948934823,,1,3
1000,0.721062580816226,0.717114102739539,0.428601541585933,0.288512561153607,0.428601541585933,0.288512561153607,0.48964934200439,115.966321517849,-47.1519287473987,21.3958574524488,0.428601541585933,-0.00611878599281102,,1,3
90,0.725279409658732,0.724174375377868,0.477357071021613,0.246817304356254,0.477357071021613,0.246817304356254,0.424465410692803,99.7657438950334,-47.1207251408708,19.5206811112142,0.477357071021613,-0.0052379776333742,,1,4
110,0.685135457173146,0.688234139737988,0.46679125382477,0.221442885913218,0.46679125382477,0.221442885913218,0.399242943473014,106.349423443882,-46.2098146954295,19.9899468655007,0.46679125382477,-0.00479211802455292,,1,4
130,0.704387951033538,0.702495415286162,0.439414821508311,0.263080593777851,0.439414821508311,0.263080593777851,0.458375080484717,112.09836394433,-47.2731262823674,20.360284839252,0.439414821508311,-0.00556511943395584,,1,4
150,0.692362304353916,0.694490129696507,0.426794616213867,0.26769551348264,0.426794616213867,0.26769551348264,0.469089018780066,115.058775178158,-47.3869845074448,21.034017578298,0.426794616213867,-0.00564913586009219,,1,4
1000,0.709498908858587,0.706905452190661,0.401131973904707,0.305773478285953,0.401131973904707,0.305773478285953,0.519790657873981,115.912961771886,-47.0215148937922,21.4207987119956,0.401131973904707,-0.00650284192197137,,1,4
90,0.666336621289346,0.66620178676511,0.418451263755253,0.247750523009856,0.418451263755253,0.247750523009856,0.45121412770472,99.6944784220089,-46.3725400575019,19.7322928015084,0.418451263755253,-0.00534261273379991,,1,5
110,0.734003298525715,0.734988517068267,0.510922785360678,0.224065731707589,0.510922785360678,0.224065731707589,0.38567076500396,106.803804475949,-47.2668205385021,19.8206405535598,0.510922785360678,-0.00474044433610829,,1,5
130,0.691301612693682,0.68915344700751,0.400151589735754,0.289001857271757,0.400151589735754,0.289001857271757,0.503995218740534,111.864392893993,-46.9547381658914,20.3408364890098,0.400151589735754,-0.00615490296742176,,1,5
150,0.712766048139339,0.717806253133346,0.405616282261974,0.312189970871372,0.405616282261974,0.312189970871372,0.523562346416412,115.017001023675,-47.2499674545456,21.1260750757281,0.405616282261974,-0.00660719970170769,,1,5
1000,0.697751482542893,0.695799853561948,0.406625774379652,0.289174079182296,0.406625774379652,0.289174079182296,0.500909353455002,116.481049171951,-47.2246957498597,21.4145432678315,0.406625774379652,-0.00612336563720805,,1,5
90,0.705279070193225,0.703666064749609,0.47135141217659,0.232314652573019,0.47135141217659,0.232314652573019,0.410313262837387,100.009730406146,-46.6672503010023,19.5881103325929,0.47135141217659,-0.0049781088680948,,1,6
110,0.677931021954172,0.676577148864669,0.372443241024306,0.304133907840363,0.372443241024306,0.304133907840363,0.533387747648324,106.620484391715,-47.0878495389747,19.9851281675968,0.372443241024306,-0.00645886169825257,,1,6
130,0.693036159912998,0.690676310626388,0.398286067673568,0.29239024295282,0.398286067673568,0.29239024295282,0.508303160581278,111.659705698016,-46.9315064249775,20.2592409543911,0.398286067673568,-0.00623014825701837,,1,6
150,0.708018769385933,0.703607831722202,0.403865254841367,0.299742576880835,0.403865254841367,0.299742576880835,0.512647426898166,114.815837571042,-46.7341952397577,20.998883167073,0.403865254841367,-0.00641377422555547,,1,6
1000,0.704364970173127,0.700878891526199,0.35363040776429,0.347248483761909,0.35363040776429,0.347248483761909,0.582256082085893,116.180416062195,-47.0594438256281,21.2908645863685,0.35363040776429,-0.00737893301605068,,1,6
90,0.704050084423464,0.706076320365779,0.44630513370498,0.2597711866608,0.44630513370498,0.2597711866608,0.451740907799249,100.092426195102,-47.1799041995205,19.6881757267025,0.44630513370498,-0.0055059710499251,,1,7
110,0.726179167585893,0.722975362998911,0.501251861419314,0.221723501579597,0.501251861419314,0.221723501579597,0.3863717252324,106.642406227037,-46.7508376720452,19.9071934382511,0.501251861419314,-0.00474266371727876,,1,7
130,0.705152747479254,0.706264870443692,0.40601685117016,0.300248019273532,0.40601685117016,0.300248019273532,0.512057835434719,111.889598572967,-46.6737294689158,20.4402753078703,0.40601685117016,-0.00643291253323766,,1,7
150,0.711522559220479,0.707551997080221,0.41139402676014,0.29615797032008,0.41139402676014,0.29615797032008,0.505431655151885,114.63124509014,-46.5458621304211,20.8244733682388,0.41139402676014,-0.0063627131771724,,1,7
1000,0.69484063019256,0.693433638725059,0.390849362941011,0.302584275784048,0.390849362941011,0.302584275784048,0.522038051885538,115.985136187548,-47.1221364190632,21.3594777793987,0.390849362941011,-0.00642127668179404,,1,7
90,0.716100850502536,0.714369216143416,0.477259020180642,0.237110195962774,0.477259020180642,0.237110195962774,0.413508275969474,100.333474803524,-47.2557382726899,19.5204832656014,0.477259020180642,-0.00501759584401215,,1,8
110,0.711529217713971,0.710814096505338,0.442275013855044,0.268539082650294,0.442275013855044,0.268539082650294,0.462902667082902,106.463453600117,-46.6976398018346,19.929023746784,0.442275013855044,-0.00575059218816759,,1,8
130,0.70835707100051,0.706457885465582,0.414813435023606,0.291644450441976,0.414813435023606,0.291644450441976,0.499329419340944,111.681881276625,-46.3766113364587,20.455697193627,0.414813435023606,-0.00628861061723803,,1,8
150,0.701880368291826,0.699739250039979,0.392756367072044,0.306982882967935,0.392756367072044,0.306982882967935,0.52522269599684,114.910294156505,-46.6951192599994,20.963186725879,0.392756367072044,-0.00657419635783878,,1,8
1000,0.733760016311813,0.7330676329184,0.446264660272345,0.286802972646054,0.446264660272345,0.286802972646054,0.479900290502115,115.723695652389,-46.6935471021123,21.3007053212351,0.446264660272345,-0.0061422399977208,,1,8
90,0.717583661435705,0.718289696959766,0.483691114505612,0.234598582454154,0.483691114505612,0.234598582454154,0.408090954113193,99.971692820256,-47.1626133167837,19.5399654037127,0.483691114505612,-0.00497424900690708,,1,9
