cutoff,e1.te2,e1.te,e1.pnde,e1.tnie,e1.tnde,e1.pnie,e1.pm,e1.beta0,e1.beta1,e1.sigma,e1.theta1,e1.theta2,e1.theta3,interaction,iter
90,1.78082642064166,1.77924316992826,1.84707883405974,-0.0678356641314794,1.59976752847741,0.179475641450844,-0.084440011869145,100.100070871944,-47.0251084181541,19.6278319647637,1.32304425551619,-0.00381659176316873,0.00525913312911892,1,1
110,1.8582774234098,1.8540481601999,1.92275159044407,-0.0687034302441672,1.55378545730619,0.300262702893719,-0.0843237652075042,106.794773028907,-47.1772312786089,19.919085090963,1.09514089710059,-0.00636456813500763,0.00782085177824293,1,1
130,2.02222742880166,2.01765899965424,2.13063412010228,-0.112975120448041,1.77541931244394,0.242239687210302,-0.137946296376104,111.963382601431,-47.0745324764985,20.440977470436,1.2901101453128,-0.0051458755821152,0.00754579576197982,1,1
150,2.00849873064152,2.00150574114887,2.07478030945995,-0.0732745683110785,1.71022182111037,0.291283920038502,-0.0879046383999389,114.805563821691,-46.5285036779566,21.0467583874946,1.1833908234156,-0.00626033285004394,0.00783516467395649,1,1
1000,2.09199072465819,2.08179427827997,2.15687778222043,-0.0750835039404664,1.70926860051696,0.372525677763005,-0.0890834220382355,116.304066546868,-47.4773604054052,21.3837616953547,1.07388523254953,-0.00784638561583963,0.00942784472180792,1,1
90,1.75588105214215,1.75430897583226,1.81101701378916,-0.0567080379569016,1.50953291556077,0.244776060271485,-0.0705546030353497,100.432675500367,-47.6142607189767,19.6430933334065,1.17992211599176,-0.0051408140455267,0.00633180256662539,1,2
110,1.87383886912299,1.87221354276685,1.98612156007625,-0.113908017309403,1.63859301235564,0.233620530411207,-0.142574567389443,106.714731432184,-47.0221334830586,19.7940759340979,1.20110639547408,-0.00496830988103457,0.00739074393223395,1,2
130,1.99961537752647,1.99611774963961,2.01789011333661,-0.021772363697002,1.7445433261642,0.251574423475402,-0.0254717461428147,112.192434272216,-47.5918361475883,20.3255467393956,1.37923433319098,-0.00528608357734377,0.00574356463837035,1,2
150,2.06419335939063,2.06019025647997,2.15434647094528,-0.0941562144653096,1.79908654925766,0.261103707222313,-0.113150049774628,114.740162823679,-46.8831273140447,21.0118661516455,1.29085199998294,-0.00556924680969597,0.00757756451074454,1,2
1000,2.0812358881208,2.07193889513261,2.13902763685338,-0.0670887417207623,1.79396551457756,0.277973380555049,-0.0793886933334745,116.061048982172,-46.6884760718812,21.2899934385102,1.2888168684507,-0.0059537899700792,0.00739073431620592,1,2
90,1.77550722954535,1.77276674827275,1.84905094756521,-0.0762841992924574,1.52261052802159,0.250156220251167,-0.0954892965083742,99.9044395406338,-46.9916869860043,19.5416704031042,1.15994560879468,-0.00532341433763959,0.00694676953480835,1,3
110,1.90689940106201,1.90385852353432,2.02732049893095,-0.123461975396624,1.6631247048123,0.240733818722025,-0.154413445843026,106.817807006894,-47.1828979652815,20.0226611323904,1.20665989033399,-0.00510214143478774,0.00771880935305488,1,3
130,2.01564770476356,2.01144650702193,2.0888419658022,-0.0773954587802756,1.76486626130871,0.246580245713221,-0.092898647440378,111.775336535786,-47.3155493383933,20.5630262899547,1.3286779241306,-0.00521139982862119,0.00684712972846354,1,3
150,2.03757589405814,2.0297878688814,2.17643881179098,-0.146650942909585,1.74277009390469,0.287017774976705,-0.181836338807694,115.287257252269,-47.5573885301593,21.0926810988214,1.13113869470181,-0.0060351878824189,0.00911885053594294,1,3
1000,2.09403519171014,2.08576546608477,2.19493799058047,-0.109172524495698,1.81934852127811,0.26641694480666,-0.131715392591348,115.966321517849,-47.1519287473987,21.3958574524488,1.27728655365934,-0.00565018127326039,0.00796551656061533,1,3
90,1.77524403878983,1.77186885841518,1.84660920542937,-0.0747403470141884,1.52972876671294,0.242140091702241,-0.0935008553626091,99.7657438950334,-47.1207251408708,19.5206811112142,1.18025004025534,-0.00513871743226247,0.00672486337527898,1,4
110,1.87697148445336,1.87333129358675,2.00710362075362,-0.133772327166872,1.6241141774887,0.249217116098051,-0.169109645978607,106.349423443882,-46.2098146954295,19.9899468655007,1.12981085202718,-0.00539316415226179,0.00828805408091808,1,4
130,1.99331901487104,1.99004904914707,2.05754269882467,-0.0674936496776042,1.76534714737637,0.2247019017707,-0.0808786674470502,112.09836394433,-47.2731262823674,20.360284839252,1.36892233733632,-0.00475326934014331,0.00618100757083399,1,4
